Loading detector: yolov8n_openvino_model [openvino]
Loading pose model: yolov8n-pose_openvino_model [openvino]
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
스트림 확인 중: rtsp://127.0.0.1:8554/seatnow
Live: rtsp://127.0.0.1:8554/seatnow — 2560x1440, 29.970 fps, codec=hevc
하드웨어 디코딩 켜짐 (vaapi)
Analyzing every 15s (newest 5 frames majority vote, live)
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
Loading /home/hugo/seatnow/yolov8n-pose_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
[2010.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5107ms
[2025.0s] tables=12 occupied=3 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4951ms
[2040.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5456ms
[2055.0s] tables=12 occupied=3 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5005ms
[2070.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5028ms
[2085.0s] tables=12 occupied=3 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5338ms
[2100.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5446ms
[2115.0s] tables=12 occupied=2 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4862ms
[2130.0s] tables=12 occupied=2 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5057ms
[2145.0s] tables=12 occupied=2 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4909ms
[2160.0s] tables=12 occupied=2 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5414ms
[2175.0s] tables=12 occupied=2 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4972ms
[2190.0s] tables=12 occupied=2 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4977ms
[2205.0s] tables=12 occupied=2 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5000ms
[2220.0s] tables=12 occupied=2 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5118ms
[2235.0s] tables=12 occupied=2 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5044ms
[2249.9s] tables=12 occupied=2 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5035ms
[2265.0s] tables=12 occupied=2 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4981ms
[2280.0s] tables=12 occupied=2 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4992ms
[2295.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5100ms
[2310.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4998ms
[2325.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4915ms
[2340.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5011ms
[2355.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5060ms
[2370.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4915ms
[2385.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4891ms
[2400.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5786ms
[2415.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4990ms
[2430.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5040ms
[2445.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5932ms
[2460.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5842ms
[2475.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5898ms
[2490.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5735ms
[2505.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5939ms
[2520.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5228ms
[2535.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6368ms
[2549.9s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5155ms
[2565.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5961ms
[2580.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5173ms
[2595.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5716ms
[2610.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5158ms
[2625.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5945ms
[2640.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5216ms
[2655.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5954ms
[2670.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5280ms
[2685.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5915ms
[2700.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5379ms
[2715.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/3/0 inference=6765ms
[2730.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5600ms
[2745.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6931ms
[2760.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5727ms
[2775.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=7550ms
[2790.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5555ms
[2805.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6635ms
[2820.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4965ms
[2835.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6917ms
[2850.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5474ms
[2865.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6708ms
[2880.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4928ms
[2895.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6257ms
[2910.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5409ms
[2925.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5836ms
[2940.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5425ms
[2955.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4992ms
[2970.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5594ms
